"open","high","low","close","volume","date_value","bigger","year"
84.900002,86.139999,84.342003,86.052002,47660500,"2020-01-02","no","2020"
88.099998,90.800003,87.384003,88.601997,88892500,"2020-01-03","no","2020"
88.094002,90.311996,88,90.307999,50665000,"2020-01-06","no","2020"
92.279999,94.325996,90.671997,93.811996,89410500,"2020-01-07","no","2020"
94.739998,99.697998,93.646004,98.428001,155721500,"2020-01-08","no","2020"
99.419998,99.760002,94.573997,96.267998,142202000,"2020-01-09","no","2020"
96.358002,96.987999,94.739998,95.629997,64797500,"2020-01-10","no","2020"
98.699997,105.125999,98.400002,104.972,132588000,"2020-01-13","no","2020"
108.851997,109.482002,104.980003,107.584,144981000,"2020-01-14","no","2020"
105.952003,107.568001,103.358002,103.699997,86844000,"2020-01-15","no","2020"
98.75,102.891998,98.433998,102.697998,108683500,"2020-01-16","no","2020"
101.522003,103.134003,100.632004,102.099998,68145500,"2020-01-17","no","2020"
106.050003,109.716003,105.681999,109.440002,89017500,"2020-01-21","no","2020"
114.377998,118.900002,111.82,113.912003,156845000,"2020-01-22","no","2020"
112.849998,116.400002,111.120003,114.440002,98255000,"2020-01-23","no","2020"
114.125999,114.772003,110.851997,112.963997,71768000,"2020-01-24","no","2020"
108.398003,112.888,107.856003,111.603996,68040500,"2020-01-27","no","2020"
113.697998,115.362,111.615997,113.379997,58942500,"2020-01-28","no","2020"
115.138,117.959999,113.486,116.197998,89007500,"2020-01-29","no","2020"
126.484001,130.175995,123.599998,128.162003,145028500,"2020-01-30","no","2020"
128,130.600006,126.503998,130.113998,78596500,"2020-01-31","no","2020"
134.738007,157.227997,134.703995,156,236167500,"2020-02-03","no","2020"
176.591995,193.798004,166.776001,177.412003,304694000,"2020-02-04","no","2020"
164.651993,169.195999,140.822006,146.940002,242119000,"2020-02-05","no","2020"
139.983994,159.166,137.399994,149.792007,199404000,"2020-02-06","no","2020"
146.110001,153.949997,146,149.613998,85317500,"2020-02-07","no","2020"
160,163.998001,150.479996,154.255997,123446000,"2020-02-10","no","2020"
153.757996,156.701996,151.600006,154.876007,58487500,"2020-02-11","no","2020"
155.574005,157.949997,152.673996,153.457993,60112500,"2020-02-12","no","2020"
148.367996,163.600006,147,160.800003,131446500,"2020-02-13","no","2020"
157.444,162.593994,157.100006,160.005997,78468500,"2020-02-14","no","2020"
168.320007,172,166.472,171.679993,81908500,"2020-02-18","no","2020"
184.699997,188.955994,180.203995,183.483994,127115000,"2020-02-19","no","2020"
182.389999,182.399994,171.988007,179.882004,88174500,"2020-02-20","no","2020"
181.395996,182.612,176.089996,180.199997,71574000,"2020-02-21","no","2020"
167.800003,172.699997,164.440002,166.757996,75961000,"2020-02-24","no","2020"
169.800003,171.320007,157.399994,159.981995,86452500,"2020-02-25","no","2020"
156.5,162.662003,155.222,155.759995,70427500,"2020-02-26","no","2020"
146,147.953995,133.800003,135.800003,121386000,"2020-02-27","no","2020"
125.940002,138.104004,122.304001,133.598007,122821000,"2020-02-28","no","2020"
142.251999,148.738007,137.334,148.723999,100975000,"2020-03-02","no","2020"
161,161.395996,143.222,149.102005,128920000,"2020-03-03","no","2020"
152.792007,153.304001,144.945999,149.899994,75245000,"2020-03-04","no","2020"
144.753998,149.149994,143.613998,144.908005,54263500,"2020-03-05","no","2020"
138,141.399994,136.854004,140.695999,63314500,"2020-03-06","no","2020"
121.078003,132.600006,121,121.599998,85368500,"2020-03-09","no","2020"
131.886002,133.600006,121.599998,129.065994,77972000,"2020-03-10","no","2020"
128.039993,130.716003,122.599998,126.846001,66612500,"2020-03-11","no","2020"
116.178001,118.900002,109.25,112.110001,94545500,"2020-03-12","no","2020"
119,121.514,100.400002,109.323997,113201500,"2020-03-13","no","2020"
93.900002,98.973999,88.433998,89.014,102447500,"2020-03-16","no","2020"
88.001999,94.370003,79.199997,86.040001,119973000,"2020-03-17","no","2020"
77.800003,80.972,70.101997,72.244003,118931000,"2020-03-18","no","2020"
74.940002,90.400002,71.692001,85.528,150977500,"2020-03-19","no","2020"
87.639999,95.400002,85.157997,85.505997,141427500,"2020-03-20","no","2020"
86.720001,88.400002,82.099998,86.858002,82272500,"2020-03-23","no","2020"
95.459999,102.737999,94.800003,101,114476000,"2020-03-24","no","2020"
109.050003,111.400002,102.222,107.849998,106113500,"2020-03-25","no","2020"
109.477997,112,102.449997,105.632004,86903500,"2020-03-26","no","2020"
101,105.160004,98.806,102.872002,71887000,"2020-03-27","no","2020"
102.052002,103.330002,98.246002,100.426003,59990500,"2020-03-30","no","2020"
100.25,108.592003,99.400002,104.800003,88857500,"2020-03-31","no","2020"
100.800003,102.790001,95.019997,96.311996,66766000,"2020-04-01","no","2020"
96.206001,98.851997,89.279999,90.893997,99292000,"2020-04-02","no","2020"
101.900002,103.098,93.678001,96.001999,22562100,"2020-04-03","no","2020"
102.239998,104.199997,99.592003,103.248001,14901800,"2020-04-06","no","2020"
109,113,106.468002,109.089996,17919800,"2020-04-07","no","2020"
110.839996,111.442001,106.666,109.767998,12617900,"2020-04-08","no","2020"
112.417999,115.036003,111.421997,114.599998,68250000,"2020-04-09","no","2020"
118.031998,130.399994,116.106003,130.190002,112377000,"2020-04-13","no","2020"
139.794006,148.376007,138.485992,141.977997,152882500,"2020-04-14","no","2020"
148.399994,150.626007,142,145.966003,117885000,"2020-04-15","no","2020"
143.388,151.889999,141.343994,149.042007,103289500,"2020-04-16","no","2020"
154.455994,154.990005,149.531998,150.778,65641000,"2020-04-17","no","2020"
146.539993,153.113998,142.442001,149.272003,73733000,"2020-04-20","no","2020"
146.024002,150.666,134.757996,137.343994,101045500,"2020-04-21","no","2020"
140.796005,146.800003,137.742004,146.421997,71124000,"2020-04-22","no","2020"
145.520004,146.800003,140.626007,141.126007,66183500,"2020-04-23","no","2020"
142.162003,146.145996,139.636002,145.029999,66188000,"2020-04-24","no","2020"
147.522003,159.897995,147,159.75,103407000,"2020-04-27","no","2020"
159.128006,161,151.337997,153.824005,76110000,"2020-04-28","no","2020"
158.033997,160.639999,156.632004,160.102005,81080000,"2020-04-29","no","2020"
171.037994,173.964005,152.699997,156.376007,142359500,"2020-04-30","no","2020"
151,154.554001,136.608002,140.264008,162659000,"2020-05-01","no","2020"
140.199997,152.399994,139.600006,152.238007,96185500,"2020-05-04","no","2020"
157.957993,159.783997,152.436005,153.641998,84958500,"2020-05-05","no","2020"
155.300003,157.960007,152.222,156.516006,55616000,"2020-05-06","no","2020"
155.442001,159.279999,154.470001,156.007996,57638500,"2020-05-07","no","2020"
158.753998,164.800003,157.401993,163.884003,80650500,"2020-05-08","no","2020"
158.102005,164.800003,157,162.257996,82598000,"2020-05-11","no","2020"
165.399994,168.658005,161.600006,161.882004,79534500,"2020-05-12","no","2020"
164.166,165.199997,152.660004,158.192001,95327500,"2020-05-13","no","2020"
156,160.671997,152.800003,160.666,68411000,"2020-05-14","no","2020"
158.070007,161.009995,157.309998,159.834,52592000,"2020-05-15","no","2020"
165.556,166.944,160.776001,162.725998,58490500,"2020-05-18","no","2020"
163.033997,164.414001,161.216003,161.602005,48182500,"2020-05-19","no","2020"
164.100006,165.199997,162.360001,163.112,36546500,"2020-05-20","no","2020"
163.199997,166.5,159.199997,165.520004,61273000,"2020-05-21","no","2020"
164.434006,166.356003,162.399994,163.376007,49937500,"2020-05-22","no","2020"
166.899994,166.919998,163.141998,163.774002,40448500,"2020-05-26","no","2020"
