"","titles","category","publish date","links"
"1","Irregularities found in data put census deadline in jeopardy","National","1:34 PM, Nov 19, 2020 ","https://www.thedenverchannel.com/news/national/irregularities-found-in-census-data-puts-meeting-year-end-deadline-in-jeopardy"
"2","NFL test data show 25 new COVID-19 positives","Denver7 | Sports","2:42 PM, Nov 04, 2020 ","https://www.thedenverchannel.com/sports/nfl-test-data-show-25-new-covid-19-positives"
"3","EU files antitrust charges against Amazon","World","6:46 AM, Nov 10, 2020 ","https://www.thedenverchannel.com/news/world/european-union-files-antitrust-charges-against-amazon-over-use-of-data"
"4","Lawsuit says census takers were pressured to falsify data","National","3:45 PM, Oct 28, 2020 ","https://www.thedenverchannel.com/news/national/lawsuit-says-census-takers-were-pressured-to-falsify-data"
"5","Scientists return from largest Arctic expedition to date","National","6:43 PM, Nov 18, 2020 ","https://www.thedenverchannel.com/news/national/scientists-return-from-largest-arctic-expedition-with-new-climate-knowledge-data"
"6","New California Law Will Make It Harder For Facebook, Google To Gather Users’ Data","Simplemost","6:45 AM, Nov 06, 2020 ","https://www.thedenverchannel.com/new-law-restricts-data-gathering-facebook-google/"
"7","Viral election post on Wisconsin not supported by data","Election 2020","8:05 PM, Nov 04, 2020 ","https://www.thedenverchannel.com/news/election-2020/viral-online-post-claiming-wisconsin-had-more-votes-than-registered-voters-not-supported-by-data"
"8","Claim that WI had more votes than registered voters is false","Election 2020","10:39 AM, Nov 05, 2020 ","https://www.thedenverchannel.com/news/election-2020/viral-claim-that-wisconsin-had-more-votes-than-registered-voters-is-not-supported-by-data"
"9","Majority of Americans intend to travel for Thanksgiving","Coronavirus","4:18 PM, Nov 09, 2020 ","https://www.thedenverchannel.com/news/national/coronavirus/despite-pandemic-majority-of-americans-intend-to-travel-for-thanksgiving-data-indicates"
"10","CDPHE: Colorado could exceed hospitalization peak in two weeks","Coronavirus","2:30 PM, Oct 30, 2020 ","https://www.thedenverchannel.com/news/coronavirus/colorado-could-exceed-april-hospitalization-peak-in-two-weeks-new-cdphe-data-says"
"11","What the data says about Colorado's growing COVID-19 numbers","Denver7 | Investigates","6:04 PM, Nov 02, 2020 ","https://www.thedenverchannel.com/news/investigations/what-the-data-says-about-colorados-rapidly-increasing-covid-19-cases-and-hospitalizations"
"12","New COVID-19 modeling data predicts peak in hospitalizations in a few months","Coronavirus","12:25 AM, Oct 24, 2020 ","https://www.thedenverchannel.com/news/coronavirus/new-covid-19-modeling-data-predicts-colorado-will-exceed-april-peak-hospitalizations-in-a-few-months"
"13","Violence in the US dropped in 2019, new data indicates","National","9:27 PM, Sep 28, 2020 ","https://www.thedenverchannel.com/news/national/violence-in-the-us-dropped-in-2019-new-data-indicates"
"14","Organizations worldwide collecting data on PPE pollution","The Race 2020","2:37 PM, Sep 11, 2020 ","https://www.thedenverchannel.com/news/national-politics/the-race-2020/organizations-worldwide-collecting-data-on-ppe-pollution"
