Player_Name;DOB;Batting_Hand;Bowling_Skill;Country
A Ashish Reddy;24.febr.91;Right_Hand;Right-arm medium;India
A Chandila;05.dec.83;Right_Hand;Right-arm offbreak;India
A Chopra;19.szept.77;Right_Hand;Right-arm offbreak;India
A Choudhary;;Right_hand;Left-arm fast-medium;
A Dananjaya;;Right_Hand;Right-arm offbreak;
A Flintoff;06.dec.77;Right_Hand;Right-arm fast-medium;England
A Hales;;Right_hand;;
A Joseph;;Right_Hand;Right-arm fast;
A Kumble;17.okt.70;Right_Hand;Legbreak googly;India
A Mishra;24.nov.82;Right_Hand;Legbreak;India
A Mithun;25.okt.89;Right_Hand;Right-arm medium;India
A Mukund;06.jan.90;Right_Hand;Legbreak googly;India
A Nehra;29.ápr.79;Right_Hand;Left-arm medium-fast;India
A Nel;15.júl.77;Right_Hand;Right-arm fast-medium;South Africa
A Roy;;Left_Hand;Slow left-arm orthodox;
A Singh;21.jún.81;Right_Hand;Right-arm medium-fast;India
A Symonds;09.jún.75;Right_Hand;Right-arm offbreak;Australia
A Turner;;Right_Hand;;
A Uniyal;21.nov.81;Right_Hand;Left-arm medium;India
A Zampa;31.márc.92;Right_Hand;Legbreak googly;Australia
AA Bilakhia;31.máj.86;Right_Hand;Right-arm medium;India
AA Chavan;28.okt.85;Right_Hand;Slow left-arm orthodox;India
AA Jhunjhunwala;01.dec.82;Right_Hand;Right-arm offbreak;India
AA Kazi;29.szept.89;Right_Hand;Slow left-arm orthodox;India
AA Noffke;30.ápr.77;Right_Hand;Right-arm fast-medium;Australia
AB Agarkar;04.dec.77;Right_Hand;Right-arm fast;India
AB Barath;14.ápr.90;Left_Hand;Right-arm offbreak;India
AB de Villiers;17.febr.84;Right_Hand;Right-arm medium;South Africa
AB Dinda;25.márc.84;Right_Hand;Right-arm medium-fast;India
AB McDonald;05.jún.81;Right_Hand;Right-arm fast-medium;Australia
Abdur Razzak;15.jún.82;Left_Hand;Slow left-arm orthodox;Bangladesh
AC Blizzard;27.jún.84;Left_Hand;Left-arm medium;Australia
AC Gilchrist;14.nov.71;Left_Hand;Right-arm offbreak;Australia
AC Thomas;09.febr.77;Right_Hand;Right-arm fast-medium;England
AC Voges;04.okt.79;Right_Hand;Slow left-arm orthodox;Australia
